time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,018000;-0,3470;-0,0826;-0,4026;0,538
0,022000;-0,3189;-0,0676;0,7039;0,776
0,041000;-0,3121;-0,1651;0,5644;0,666
0,061000;-0,1964;-0,3916;0,2357;0,497
0,080000;-0,0379;-0,4829;0,0554;0,488
0,101000;0,2301;-0,4355;-0,1499;0,515
0,121000;0,2252;-0,3046;-0,2943;0,480
0,141000;0,0160;-0,2271;-0,2648;0,349
0,162000;-0,1361;-0,1190;-0,2057;0,274
0,181000;-0,2212;-0,0283;-0,4142;0,470
0,200000;-0,2405;-0,0003;-0,2892;0,376
0,222000;-0,2078;-0,0233;-0,0396;0,213
0,241000;-0,2121;-0,1221;0,1477;0,286
0,270000;0,0131;-0,0708;0,0816;0,109
0,291000;0,1714;0,0482;-0,1747;0,249
0,302000;0,2677;0,1750;-0,4770;0,574
0,323000;0,1293;0,0139;-1,1673;1,174
0,343000;-0,4682;0,1656;-1,1617;1,263
0,362000;-1,8819;2,1024;2,5212;3,784
0,382000;-1,0058;1,0320;3,3904;3,684
0,403000;1,4756;-1,4847;2,6030;3,340
0,423000;3,3139;-2,6087;-0,1559;4,220
0,443000;1,5411;0,1125;-1,5669;2,201
0,464000;-0,1538;0,7694;-0,4189;0,889
0,483000;0,2041;0,6577;2,0875;2,198
0,504000;-0,3711;0,7024;0,2786;0,842
0,524000;-1,2433;1,5145;-1,4288;2,425
0,544000;-1,8280;0,2013;-2,2962;2,942
0,564000;-2,6761;0,3715;-3,0454;4,071
0,587000;-3,1400;0,6656;-3,0194;4,407
0,604000;-1,9477;-0,9161;-2,4627;3,271
0,625000;-0,6517;-0,3729;-0,5388;0,924
0,645000;0,3496;-0,2601;1,6892;1,744
0,666000;1,2328;-0,6871;2,9686;3,287
0,685000;1,9288;-1,2432;3,0099;3,785
0,706000;1,9507;-0,7182;1,7280;2,703
0,726000;1,5991;-0,1785;0,3430;1,645
0,745000;0,6424;1,0033;-1,0365;1,579
0,766000;-1,2398;2,1706;-2,8479;3,789
0,785000;-1,3488;2,7485;-6,1688;6,887
0,806000;1,5276;1,5345;-5,0590;5,503
0,826000;2,4216;1,1438;-0,9480;2,841
0,845000;2,1236;-0,1259;0,8966;2,309
0,865000;0,1977;0,1396;0,6308;0,676
0,886000;-0,3314;0,2662;-0,0875;0,434
0,907000;0,7370;0,1663;0,3395;0,828
0,926000;0,6291;0,2457;1,1415;1,326
0,947000;0,4253;2,3802;1,3523;2,770
0,966000;0,3372;4,3587;2,5491;5,061
0,987000;1,3106;-0,0611;3,4580;3,699
1,007000;3,3929;-4,1221;3,7046;6,498
1,027000;1,4695;-1,6447;6,1111;6,497
1,046000;-1,6879;0,1163;2,2847;2,843
1,068000;-1,6674;0,0328;0,2635;1,688
1,087000;-0,7072;0,2749;-0,6479;0,998
1,108000;-0,4476;0,1570;-2,5669;2,610
1,127000;0,4458;-0,6353;-4,1532;4,225
1,147000;0,2039;-0,1084;-3,2523;3,260
1,168000;0,6362;-0,1480;-1,0791;1,261
1,188000;1,5009;-0,5687;0,1010;1,608
1,208000;0,0479;0,7484;0,5072;0,905
1,228000;-3,5765;5,2555;-0,6582;6,391
1,248000;-2,2842;3,1112;-1,9907;4,343
1,269000;1,6022;-3,5874;-2,0430;4,428
1,288000;2,6702;-2,4339;3,6435;5,131
1,310000;4,0300;-1,5944;6,7479;8,020
1,329000;2,1158;-0,8918;4,4177;4,979
1,350000;0,4739;-0,2601;3,2164;3,262
1,369000;-0,0066;-0,1122;1,4802;1,484
1,390000;-0,2173;0,5174;-1,2969;1,413
1,409000;-0,1709;0,9415;-3,7080;3,829
1,430000;-0,4803;0,8533;-3,4183;3,556
1,450000;-0,2751;0,1013;-2,0621;2,083
1,471000;-0,5443;-0,0277;-0,8289;0,992
1,491000;-0,6601;0,0157;-0,5503;0,860
1,511000;-0,3834;-0,1194;-0,7471;0,848
1,530000;0,1139;-0,1691;-0,9911;1,012
1,552000;0,4298;0,0057;-1,3563;1,423
1,572000;0,3514;-0,0626;-1,0378;1,098
1,592000;0,0087;-0,0254;0,5169;0,518
1,613000;-0,3702;-0,0769;2,1280;2,161
1,632000;-0,4731;-0,0100;2,5093;2,554
1,653000;-0,1095;-0,0173;1,2983;1,303
1,673000;0,3888;-0,0165;-0,6888;0,791
1,692000;0,7296;0,2270;-1,7739;1,931
1,713000;0,4393;0,2979;-0,8532;1,005
1,732000;0,2264;0,1230;0,0762;0,269
1,752000;0,2997;-0,0682;0,2815;0,417
1,773000;-0,0348;-0,0388;-0,0763;0,092
1,792000;-0,2265;0,1895;-0,7232;0,781
1,812000;0,0263;0,1400;-1,2287;1,237
1,834000;0,1180;0,0664;-1,0271;1,036
1,854000;-0,0554;0,0309;-0,0137;0,065
1,874000;-0,1015;-0,1291;0,5549;0,579
1,894000;-0,1508;-0,0764;0,2804;0,327
1,915000;-0,2565;-0,0378;0,0502;0,264
1,933000;-0,2116;0,0063;0,0711;0,223
1,959000;-0,1412;0,0298;-0,1492;0,208
1,975000;-0,2105;-0,0093;-0,0367;0,214
2,002000;-0,1695;-0,1045;0,1926;0,277
2,031000;-0,0527;-0,1015;0,4072;0,423
2,033000;0,1455;-0,1053;0,4195;0,456
2,055000;0,0836;0,0029;0,0522;0,099
2,075000;0,1636;0,0451;-0,2240;0,281
2,113000;0,0730;0,0165;-0,0488;0,089
2,118000;0,1295;0,0293;-0,0454;0,140
2,145000;0,1690;0,0613;-0,2743;0,328
2,160000;0,1084;0,0704;-0,2278;0,262
2,178000;0,0517;0,0330;-0,2369;0,245
2,210000;0,0833;-0,0600;-0,0260;0,106
2,238000;0,0042;-0,1175;0,2261;0,255
2,239000;-0,0983;-0,0189;0,0865;0,132
2,257000;-0,0413;0,0586;-0,0230;0,075
2,277000;0,0835;0,1671;-0,2409;0,305
2,309000;-0,1092;0,2916;-0,8263;0,883
2,341000;-0,0942;0,2265;-0,4146;0,482
2,342000;0,1324;-0,0492;0,1144;0,182
2,357000;0,0568;-0,1033;0,1100;0,161
2,378000;0,0677;-0,1230;-0,0214;0,142
2,397000;-0,0017;-0,1710;0,3556;0,395
2,418000;-0,1119;-0,2592;0,5382;0,608
2,438000;-0,2031;-0,1977;0,4140;0,502
2,459000;-0,1971;-0,1752;0,5539;0,613
2,483000;-0,0068;-0,1712;0,3728;0,410
2,510000;0,0222;-0,0624;0,1952;0,206
2,519000;-0,0237;-0,0417;-0,0337;0,059
2,538000;-0,1411;-0,1296;-0,0080;0,192
2,559000;-0,0551;-0,0473;0,1383;0,156
2,580000;0,1551;0,0720;-0,0944;0,195
2,598000;0,0074;0,1265;-0,2224;0,256
2,619000;-0,1953;0,0953;-0,2164;0,307
2,640000;0,0461;-0,0437;-0,0418;0,076
2,660000;0,1412;-0,1048;0,0842;0,195
2,680000;-0,0998;-0,0642;-0,0330;0,123
2,700000;-0,2306;-0,1398;0,1631;0,315
2,720000;-0,3374;-0,1701;0,4222;0,567
2,740000;-0,1610;-0,1241;0,1450;0,250
2,760000;-0,0197;-0,0064;-0,0212;0,030
2,780000;0,0010;0,0466;-0,1501;0,157
2,801000;0,2179;0,0752;-0,2341;0,329
2,820000;0,2950;0,1558;-0,3643;0,494
2,839000;0,2740;0,1741;-0,3757;0,496
2,860000;0,2464;0,0832;-0,1334;0,292
2,881000;0,2918;0,0835;-0,1694;0,348
2,904000;0,2440;0,0979;-0,4479;0,519
2,921000;0,2870;0,0760;-0,5449;0,621
2,941000;0,2331;0,0431;-0,1396;0,275
2,962000;0,2476;0,0412;0,0660;0,260
2,981000;0,0296;0,0828;0,0828;0,121
3,002000;-0,2938;0,0617;0,0346;0,302
3,030000;-0,0947;-0,0014;0,3710;0,383
3,042000;0,0771;-0,0858;0,6950;0,704
3,062000;0,0514;-0,0836;0,4263;0,437
3,082000;0,0266;-0,0834;0,1495;0,173
3,102000;-0,1459;-0,0638;0,1175;0,198
3,122000;-0,0913;-0,0360;0,0377;0,105
3,143000;0,1050;0,0186;-0,1546;0,188
3,164000;0,1481;0,0694;-0,4365;0,466
3,184000;0,1052;0,0910;-0,5987;0,615
3,203000;0,0034;0,0399;-0,3269;0,329
3,224000;0,0999;0,0055;-0,2395;0,260
3,242000;0,1351;0,0954;-0,5097;0,536
3,263000;0,1042;0,1310;-0,4707;0,500
3,285000;-0,0016;0,1139;-0,2573;0,281
3,304000;0,0070;0,0760;-0,1402;0,160
3,324000;0,0352;-0,0429;-0,0730;0,092
3,344000;-0,0240;-0,0851;0,0046;0,089
3,364000;-0,1108;-0,0924;0,2134;0,258
3,386000;-0,1014;-0,0987;0,3205;0,350
3,405000;-0,0861;-0,0514;0,2314;0,252
3,424000;-0,1172;0,0520;0,0617;0,142
3,445000;-0,1014;0,0693;-0,0241;0,125
3,465000;-0,0918;0,0479;0,1771;0,205
3,486000;-0,0267;0,0147;0,1499;0,153
3,505000;0,0658;-0,0108;0,0281;0,072
3,530000;0,0084;-0,0085;-0,0499;0,051
3,546000;0,0139;-0,0349;-0,0416;0,056
3,565000;-0,0492;-0,0336;-0,0089;0,060
3,586000;-0,0628;-0,0522;-0,1053;0,133
3,606000;0,0074;-0,0699;-0,1350;0,152
3,626000;0,0408;0,0070;-0,1474;0,153
3,646000;0,0325;-0,0066;-0,0356;0,049
3,666000;0,0071;-0,0041;0,0251;0,026
3,687000;0,0994;0,0562;-0,0820;0,141
3,706000;0,1376;0,0809;-0,1379;0,211
3,726000;0,0504;0,0487;-0,0820;0,108
3,747000;0,0378;-0,0116;-0,0335;0,052
3,766000;0,0833;-0,0503;0,0613;0,115
3,787000;0,1051;-0,0692;0,0510;0,136
3,807000;0,0070;-0,0325;0,0467;0,057
3,827000;-0,0456;0,0006;0,1260;0,134
3,846000;0,0251;0,0436;0,1014;0,113
3,868000;0,0424;0,0318;-0,0654;0,084
3,887000;0,0774;-0,0167;-0,1132;0,138
3,908000;-0,0717;-0,0167;0,0164;0,075
3,928000;-0,0340;0,0163;-0,0408;0,056
3,949000;0,0460;-0,0071;-0,1182;0,127
3,968000;0,0823;-0,0268;-0,1642;0,186
3,988000;-0,0025;-0,0173;-0,0500;0,053
