time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,045000;-0,4899;-0,3189;-0,8074;0,997
0,046000;-0,0928;-0,1704;0,2965;0,354
0,047000;0,0476;-0,2118;0,8454;0,873
0,058000;-0,1451;-0,1619;0,7193;0,751
0,078000;-0,4210;-0,0274;0,2781;0,505
0,099000;-0,2001;-0,0437;0,0118;0,205
0,119000;0,0458;-0,0077;0,0467;0,066
0,139000;0,0886;-0,0601;0,2283;0,252
0,158000;0,0084;-0,1222;0,3269;0,349
0,180000;-0,0845;-0,1208;0,1614;0,219
0,199000;-0,0841;-0,0847;-0,1889;0,223
0,221000;0,0193;-0,0490;-0,3542;0,358
0,238000;0,1716;-0,0368;-0,3124;0,358
0,261000;0,1758;-0,0585;-0,1284;0,225
0,280000;0,1282;-0,0710;0,0029;0,147
0,301000;0,1771;-0,1393;-0,0032;0,225
0,320000;0,0532;-0,1342;0,0544;0,154
0,341000;0,0100;-0,2042;-0,0322;0,207
0,361000;-0,0690;-0,2662;-0,1715;0,324
0,381000;-0,0960;-0,1892;-0,0943;0,232
0,401000;-0,1121;-0,0981;0,0411;0,155
0,420000;-0,1204;0,0526;0,0602;0,144
0,441000;-0,0733;0,1501;-0,0913;0,190
0,463000;-0,0812;0,1943;-0,2102;0,297
0,482000;0,0079;0,1730;-0,0817;0,191
0,502000;0,1309;0,0852;0,0857;0,178
0,521000;0,0743;-0,0459;0,2420;0,257
0,544000;-0,0369;-0,1051;0,2567;0,280
0,561000;-0,0784;-0,0702;0,1912;0,218
0,583000;-0,1751;-0,0154;0,1036;0,204
0,601000;-0,3037;-0,0676;0,0068;0,311
0,623000;-0,3127;-0,1476;-0,0351;0,348
0,641000;-0,3027;-0,1803;-0,1070;0,368
0,663000;-0,3695;-0,1894;-0,2786;0,500
0,682000;-0,3087;-0,1918;-0,3859;0,530
0,704000;-0,1081;-0,1778;-0,2634;0,336
0,722000;-0,1175;-0,1395;0,0586;0,192
0,744000;-0,1655;-0,1277;0,2761;0,346
0,762000;-0,1552;-0,1560;0,3185;0,387
0,785000;-0,0675;-0,0815;0,3451;0,361
0,803000;0,1574;-0,0109;0,1721;0,233
0,825000;0,2160;0,0742;-0,0558;0,235
0,843000;0,2227;0,0293;-0,0628;0,233
0,866000;0,1812;-0,0670;0,0619;0,203
0,884000;0,0242;-0,0719;0,1477;0,166
0,905000;-0,2345;-0,1014;0,1932;0,320
0,923000;-0,3935;-0,2387;0,1996;0,502
